part,fournisseur,description,marque,prix,quantity
FSP:GD5S60Z00DESV6,macle,SP 5Y OS 9X5 4H RT,fujitsu,1584.0,50
TS-464-8G           ,Ingram,TS-464-8G 4BAY 8GBDDR4 2X2.5GBE,qnap                ,630.74,1
D-DDR4-4GB-007,convena,ProXtend 4GB DDR4 PC4-21300 2666MHz,proxtend,22.07,3
46372,PCA,Fibre optique Duplex LC / LC OM3 3m,lindy,7.05,1
21.15.3941,Secomp,"Cordon ROLINE Data Center SLIM, UTP Cat6A/Cl.EA, LSOH, bleu, 0,3m",roline,0.86,749
HL2P5E,Also,HPE Aruba Foundation Care 5 Years Next Business Day Exchange Hardware Only 6200F 48G 740 POE Switch Service,hewlett packard enterprise,386.25,100
C13T619100,West Cost,EPSON BAC RECUP ENCRE,epson large format,12.0,4
01ET977,Also,LENOVO PW 1YR Parts Delivered NBD,lenovo,271.68,100
SU515A,techdata,"Samsung CLT-Y506L - À rendement élevé - jaune - original - cartouche de toner (SU515A) - pour Samsung CLP-680DW, CLP-680ND, CLX-6260FD, CLX-6260FR, CLX-6260FW, CLX-6260ND",hp,145.68,4
220-80E-00003,Jarltech,"Zebra 220Xi4, 8 pts/mm (203 dpi), RTC, ZPLII, multi-IF",zebra,5995.83,17
